time,close
2012/02/21,566.60 
2012/02/22,575.48 
2012/02/23,566.60 
2012/02/24,567.49 
2012/02/29,585.25 
2012/03/01,580.81 
2012/03/02,579.92 
2012/03/03,583.48 
2012/03/05,573.71 
2012/03/06,586.14 
2012/03/07,567.49 
2012/03/08,563.94 
2012/03/09,564.83 
2012/03/12,542.62 
2012/03/13,541.73 
2012/03/14,554.17 
2012/03/15,544.40 
2012/03/16,551.50 
2012/03/19,543.51 
2012/03/20,534.63 
2012/03/21,531.97 
2012/03/22,534.63 
2012/03/23,543.51 
2012/03/26,542.62 
2012/03/27,540.85 
2012/03/28,539.96 
2012/03/29,506.21 
2012/03/30,515.09 
2012/04/02,495.55 
2012/04/03,472.46 
2012/04/05,471.58 
2012/04/06,504.44 
2012/04/09,494.67 
2012/04/10,485.79 
2012/04/11,479.57 
2012/04/12,495.55 
2012/04/13,508.88 
2012/04/16,506.21 
2012/04/17,487.56 
2012/04/18,497.33 
2012/04/19,504.44 
2012/04/20,497.33 
2012/04/23,463.58 
2012/04/24,482.23 
2012/04/25,476.90 
2012/04/26,476.02 
2012/04/27,442.71 
2012/04/30,412.07 
2012/05/02,440.49 
2012/05/03,419.18 
2012/05/04,426.28 
2012/05/07,423.62 
2012/05/08,420.51 
2012/05/09,427.17 
2012/05/10,435.16 
2012/05/11,419.18 
2012/05/14,412.96 
2012/05/15,441.82 
2012/05/16,447.60 
2012/05/17,478.68 
2012/05/18,484.01 
2012/05/21,495.55 
2012/05/22,499.11 
2012/05/23,493.78 
2012/05/24,500.88 
2012/05/25,503.55 
2012/05/28,494.67 
2012/05/29,517.76 
2012/05/30,501.77 
2012/05/31,500.88 
2012/06/01,475.13 
2012/06/04,469.80 
2012/06/05,489.34 
2012/06/06,503.55 
2012/06/07,500.88 
2012/06/08,498.22 
2012/06/11,508.88 
2012/06/12,506.21 
2012/06/13,505.32 
2012/06/14,497.33 
2012/06/15,511.54 
2012/06/18,546.18 
2012/06/19,540.85 
2012/06/20,552.39 
2012/06/21,537.29 
2012/06/22,543.51 
2012/06/25,531.97 
2012/06/26,515.98 
2012/06/27,543.51 
2012/06/28,537.29 
2012/06/29,548.84 
2012/07/02,539.07 
2012/07/03,536.41 
2012/07/04,538.18 
2012/07/05,534.63 
2012/07/06,516.87 
2012/07/09,510.65 
2012/07/10,507.10 
2012/07/11,515.09 
2012/07/12,516.87 
2012/07/13,527.53 
2012/07/16,513.32 
2012/07/17,508.88 
2012/07/18,509.76 
2012/07/19,521.31 
2012/07/20,523.97 
2012/07/23,515.98 
2012/07/24,523.09 
2012/07/25,527.53 
2012/07/26,530.19 
2012/07/27,542.62 
2012/07/30,545.29 
2012/07/31,546.18 
2012/08/01,553.28 
2012/08/03,550.62 
2012/08/06,525.75 
2012/08/07,530.19 
2012/08/08,531.08 
2012/08/09,556.67 
2012/08/10,549.36 
2012/08/13,557.59 
2012/08/14,561.24 
2012/08/15,555.76 
2012/08/16,563.98 
2012/08/17,562.16 
2012/08/20,562.16 
2012/08/21,562.16 
2012/08/22,561.24 
2012/08/23,561.24 
2012/08/24,563.07 
2012/08/27,582.27 
2012/08/28,565.81 
2012/08/29,569.47 
2012/08/30,566.73 
2012/08/31,569.47 
2012/09/03,587.75 
2012/09/04,580.44 
2012/09/05,584.09 
2012/09/06,586.84 
2012/09/07,587.75 
2012/09/10,597.80 
2012/09/11,586.84 
2012/09/12,595.06 
2012/09/13,589.58 
2012/09/14,595.98 
2012/09/17,603.29 
2012/09/18,602.37 
2012/09/19,599.63 
2012/09/20,597.80 
2012/09/21,596.89 
